emoticon	category	Description
（*^_^*）	smile	Normal laugh
(*^^)v(^^)	smile	Laughing, cheerful
(*^▽^*)	smile	Happy
(*^0^*)	smile	Excited
(^_^)	smile	Joyful
（^—^）	smile	Normal laugh
(^·^)	smile	Normal laugh
(^^)	smile	Normal laugh
(^<^)	smile	lauging;lol;happy
(＾▽＾)	smile
(^J^)	smile	Normal laugh
(＾ｕ＾)	smile	Happy
(＾ｖ＾)	smile
(^ム^)	smile	Normal laugh
(￣ー￣)	smile	Grinning
(⌒▽⌒）	smile
(●＾o＾●)	smile	Happy
(✿◠‿◠)	smile	Happy
)^o^(	smile	Happy
*<|:‑)	smile	Santa Claus
^_^	smile	Joyful
^/^	smile	Normal laugh
^‿^	smile	happy
^m^	smile	Giggling with hand covering mouth
^ω^	smile	Joyful
=)	smile	Smile, happy
=]	smile	Smile, happy
:‑D	smile_grin	Grin, laughing, laughing with glasses
:D	smile_grin	Grin, laughing, laughing with glasses
(^_^.)	smile_grin	Normal laugh
(^.^)	smile_grin	Normal laugh
(＾◇＾)	smile_grin	Happy
(^○^)	smile_grin	Happy
(^O^)	smile_grin	Happy
(^o^)／	smile_grin	Joyful
(^o^)丿	smile_grin	Joyful
§^.^§	smile_grin	Normal laugh
<^!^>	smile_grin	Normal laugh
=:o]	smile_grin	smile;persona_BillClinton
=3	smile_grin	Grin, laughing, laughing with glasses
=D	smile_grin	Grin, laughing, laughing with glasses
>^_^<	smile_grin	Normal laugh
:'‑)	smile_tears	smile, happy, crying
:‑.	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
:‑/	smirking	Smirking, Perplexed, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
:‑J	smirking	Tongue in cheek
:/	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
:\	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
:L	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
:S	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
=/	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
=\	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
=L	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
>:/	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
>:\	smirking	Smirking, Sardonic, Skeptical, annoyed, undecided, uneasy, hesitant
(?_?)	starry_eyed	Confusion
((+_+))	starry_eyed	Confused
(；一_一)	straight_face	Shame
